ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
93,134,1,2026-01-03,1,430,13,31,5,160,1,0
94,136,1,2026-02-24,1,443,4,8,2,161,1,0
95,138,1,2026-05-04,1,430,11,26,5,165,1,0
96,139,1,2025-08-07,1,443,3,5,1,166,1,0
97,140,1,2024-08-30,1,443,2,2,1,168,1,0
98,142,1,2024-09-15,1,443,3,5,2,172,1,0
99,142,1,2024-09-11,1,443,3,5,2,173,1,0
100,145,1,2025-12-31,2,430,12,29,6,176,1,0
101,145,1,2025-12-11,1,430,12,29,6,177,1,0
102,147,1,2025-04-08,1,430,11,25,6,181,1,0
103,149,1,2026-02-03,1,443,2,2,1,182,1,0
104,151,1,2024-10-26,1,443,5,12,1,185,1,0
105,154,1,2026-02-06,1,430,13,31,6,188,1,0
106,155,1,2026-01-08,1,443,2,2,2,189,1,0
107,156,1,2024-09-15,1,430,11,25,6,191,1,0
108,157,1,2026-01-20,1,450,8,19,3,192,1,0
109,158,1,2025-03-05,1,430,13,31,5,193,1,0
110,160,1,2026-06-08,1,443,3,6,1,195,1,0
111,161,1,2025-01-07,1,430,11,26,6,198,1,0
112,161,1,2025-01-12,1,430,11,26,6,199,1,0
113,162,1,2025-10-22,1,443,3,5,2,200,1,0
114,164,1,2025-08-10,1,450,9,22,4,202,1,0
115,167,1,2025-09-25,1,443,4,10,2,205,1,0
116,168,1,2026-01-14,2,430,12,28,6,206,1,0
117,171,1,2026-01-06,1,450,8,19,4,207,1,0
118,171,1,2026-01-09,1,450,8,19,4,208,1,0
119,173,2,2026-06-26,1,443,2,3,2,210,1,0
120,173,2,2026-07-25,1,443,2,3,2,211,1,0
121,174,1,2025-08-07,1,443,2,3,2,213,1,0
122,174,1,2025-08-16,1,443,2,3,2,214,1,0
123,175,2,2024-10-13,1,443,2,2,1,216,1,0
124,177,1,2025-06-29,1,443,4,9,2,217,1,0
125,177,1,2025-07-30,1,443,4,9,2,218,1,0
126,180,1,2026-06-21,1,450,9,22,3,221,1,0
127,182,1,2026-02-12,1,443,4,8,1,223,1,0
128,184,1,2026-03-01,1,443,4,9,1,224,1,0
129,185,1,2025-06-09,1,443,4,8,2,226,1,0
130,187,1,2025-10-24,1,443,5,12,1,229,1,0
131,188,1,2026-07-11,1,443,5,13,1,230,1,0
132,192,1,2025-09-06,1,450,7,16,4,232,1,0
133,197,1,2025-11-30,1,443,4,8,2,235,1,0
134,200,1,2025-09-03,1,450,7,16,4,237,1,0
135,201,1,2024-09-25,1,450,9,22,3,238,1,0
136,201,2,2024-10-31,1,450,9,22,3,239,1,0
137,208,1,2026-05-04,1,443,2,3,2,240,1,0
138,208,1,2026-05-23,1,443,2,3,2,241,1,0
139,208,1,2026-05-07,1,443,2,3,2,242,1,0
140,209,1,2025-06-14,1,430,13,31,6,243,1,0
141,211,1,2026-01-24,1,443,2,3,1,246,1,0
142,212,1,2024-09-17,3,443,3,5,2,247,1,0
143,212,2,2024-09-08,1,443,3,5,2,248,1,0
144,213,1,2025-01-22,1,430,13,32,6,250,1,0
145,214,1,2026-05-14,1,443,2,3,2,251,1,0
146,216,1,2024-09-10,1,450,8,20,3,253,1,0
147,221,1,2025-02-09,1,443,5,12,2,258,1,0
148,223,1,2026-07-17,1,450,9,22,4,259,1,0
149,224,1,2025-09-29,1,443,4,8,2,261,1,0
150,228,1,2026-02-27,1,443,4,8,2,264,1,0
151,229,1,2026-02-10,1,443,5,13,1,265,1,0
152,230,1,2025-03-25,1,443,5,13,2,268,1,0
153,233,1,2026-03-29,1,443,2,3,1,270,1,0
154,234,1,2025-09-30,1,430,13,31,6,272,1,0
155,235,1,2025-12-27,1,450,9,22,3,274,1,0
156,237,2,2025-02-06,1,443,4,10,1,277,1,0
157,237,1,2025-02-12,1,443,4,10,1,278,1,0
158,238,1,2026-04-13,1,450,7,17,4,280,1,0
159,241,1,2025-04-03,1,443,3,5,1,281,1,0
160,242,1,2025-10-25,1,443,4,9,2,282,1,0
161,243,2,2025-01-05,1,443,4,8,2,285,1,0
162,244,1,2024-09-16,1,430,13,32,6,287,1,0
163,245,1,2025-02-21,1,443,4,8,1,288,1,0
164,246,1,2025-02-01,1,443,4,8,1,290,1,0
165,248,1,2024-09-15,1,430,11,25,6,292,1,0
166,252,1,2025-12-03,1,443,5,12,1,296,1,0
167,253,2,2025-08-13,1,430,13,32,6,298,1,0
168,255,1,2025-11-07,1,450,8,19,3,301,1,0
169,262,1,2026-02-25,1,430,13,31,6,305,1,0
170,262,1,2026-02-07,1,430,13,31,6,306,1,0
171,264,1,2026-04-07,1,443,4,10,1,307,1,0
172,265,1,2025-11-14,1,430,13,31,5,309,1,0
173,267,1,2025-12-29,1,430,13,31,6,310,1,0
174,270,1,2026-06-04,1,450,7,17,4,311,1,0
175,273,1,2024-11-10,1,430,12,28,5,312,1,0
176,277,1,2026-06-05,1,430,12,29,6,313,1,0
177,278,1,2026-02-04,1,443,2,2,2,314,1,0
178,278,1,2026-02-19,1,443,2,2,2,315,1,0
179,279,1,2026-05-10,1,443,2,3,2,316,1,0
180,279,1,2026-06-07,1,443,2,3,2,317,1,0
181,283,1,2026-02-27,1,450,7,15,3,321,1,0
182,283,1,2026-02-07,1,450,7,15,3,322,1,0
183,284,1,2025-01-02,1,443,2,3,1,323,1,0
184,284,1,2025-01-25,1,443,2,3,1,325,1,0
185,285,1,2024-11-14,1,443,3,6,1,326,1,0
186,285,1,2024-11-06,1,443,3,6,1,327,1,0
187,286,1,2026-04-27,1,450,8,19,4,328,1,0
188,287,1,2025-09-18,1,443,4,8,2,329,1,0
189,289,1,2026-02-05,1,443,2,3,2,331,1,0
190,289,1,2026-02-23,1,443,2,3,2,332,1,0
191,290,1,2026-01-13,1,450,9,22,4,333,1,0
192,291,1,2025-10-14,1,443,2,3,2,334,1,0
193,292,1,2025-06-17,1,443,3,6,2,335,1,0
194,292,1,2025-06-17,3,443,3,6,2,336,1,0
195,294,2,2026-02-25,1,443,5,13,1,338,1,0
196,295,1,2024-09-22,1,450,9,23,3,339,1,0
197,295,1,2024-09-20,1,450,9,23,3,340,1,0
198,296,1,2024-11-11,1,443,5,12,1,341,1,0
199,297,2,2024-09-15,1,443,4,8,1,342,1,0
200,297,1,2024-09-19,1,443,4,8,1,343,1,0
201,298,1,2026-05-15,1,443,2,3,1,346,1,0
