CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
73,IPC,379,1,1
73,IPC,356,2,2
74,IPC,379,1,1
74,IPC,356,2,2
75,NDPS,20,1,1
75,NDPS,22,2,2
76,IPC,379,1,1
77,IPC,420,1,1
77,ITACT,66D,2,2
78,NDPS,20,1,1
78,NDPS,22,2,2
79,IPC,379,1,1
80,IPC,454,1,1
80,IPC,457,2,2
80,IPC,380,3,3
81,IPC,454,1,1
81,IPC,457,2,2
81,IPC,380,3,3
82,NDPS,20,1,1
82,NDPS,22,2,2
83,IPC,379,1,1
83,IPC,356,2,2
84,IPC,379,1,1
84,IPC,356,2,2
85,IPC,420,1,1
85,ITACT,66D,2,2
86,IPC,420,1,1
86,ITACT,66D,2,2
87,IPC,420,1,1
87,ITACT,66D,2,2
88,IPC,454,1,1
88,IPC,457,2,2
88,IPC,380,3,3
89,NDPS,20,1,1
89,NDPS,22,2,2
90,IPC,379,1,1
91,IPC,379,1,1
91,IPC,356,2,2
92,IPC,379,1,1
93,NDPS,20,1,1
93,NDPS,22,2,2
94,NDPS,20,1,1
94,NDPS,22,2,2
95,IPC,392,1,1
95,IPC,397,2,2
96,IPC,323,1,1
96,IPC,324,2,2
97,IPC,420,1,1
97,ITACT,66D,2,2
98,IPC,392,1,1
98,IPC,397,2,2
99,IPC,420,1,1
99,ITACT,66D,2,2
100,NDPS,20,1,1
100,NDPS,22,2,2
101,IPC,323,1,1
101,IPC,324,2,2
102,IPC,379,1,1
103,IPC,392,1,1
103,IPC,397,2,2
104,IPC,379,1,1
104,IPC,356,2,2
105,IPC,420,1,1
105,ITACT,66D,2,2
106,IPC,379,1,1
106,IPC,356,2,2
107,IPC,379,1,1
107,IPC,356,2,2
108,IPC,392,1,1
108,IPC,397,2,2
109,IPC,454,1,1
109,IPC,457,2,2
109,IPC,380,3,3
110,IPC,454,1,1
110,IPC,457,2,2
110,IPC,380,3,3
111,IPC,323,1,1
111,IPC,324,2,2
112,IPC,454,1,1
112,IPC,457,2,2
112,IPC,380,3,3
113,IPC,420,1,1
113,ITACT,66D,2,2
114,NDPS,20,1,1
114,NDPS,22,2,2
115,IPC,323,1,1
115,IPC,324,2,2
116,NDPS,20,1,1
116,NDPS,22,2,2
117,IPC,379,1,1
118,IPC,392,1,1
118,IPC,397,2,2
119,IPC,420,1,1
119,ITACT,66D,2,2
120,IPC,420,1,1
120,ITACT,66D,2,2
121,IPC,323,1,1
121,IPC,324,2,2
122,IPC,379,1,1
122,IPC,356,2,2
123,IPC,323,1,1
123,IPC,324,2,2
124,IPC,379,1,1
125,IPC,454,1,1
125,IPC,457,2,2
125,IPC,380,3,3
126,IPC,420,1,1
126,ITACT,66D,2,2
127,NDPS,20,1,1
127,NDPS,22,2,2
128,IPC,323,1,1
128,IPC,324,2,2
129,IPC,379,1,1
129,IPC,356,2,2
130,IPC,379,1,1
130,IPC,356,2,2
131,IPC,454,1,1
131,IPC,457,2,2
131,IPC,380,3,3
132,IPC,323,1,1
132,IPC,324,2,2
133,IPC,392,1,1
133,IPC,397,2,2
134,IPC,420,1,1
134,ITACT,66D,2,2
135,IPC,420,1,1
135,ITACT,66D,2,2
136,IPC,420,1,1
136,ITACT,66D,2,2
137,IPC,323,1,1
137,IPC,324,2,2
138,IPC,379,1,1
138,IPC,356,2,2
139,IPC,379,1,1
139,IPC,356,2,2
140,IPC,420,1,1
140,ITACT,66D,2,2
141,IPC,454,1,1
141,IPC,457,2,2
141,IPC,380,3,3
142,IPC,420,1,1
142,ITACT,66D,2,2
143,IPC,454,1,1
143,IPC,457,2,2
143,IPC,380,3,3
144,IPC,420,1,1
144,ITACT,66D,2,2
145,IPC,323,1,1
145,IPC,324,2,2
146,IPC,379,1,1
147,IPC,420,1,1
147,ITACT,66D,2,2
148,NDPS,20,1,1
148,NDPS,22,2,2
149,IPC,379,1,1
149,IPC,356,2,2
150,IPC,379,1,1
151,IPC,420,1,1
151,ITACT,66D,2,2
152,IPC,392,1,1
152,IPC,397,2,2
153,IPC,379,1,1
153,IPC,356,2,2
154,IPC,392,1,1
154,IPC,397,2,2
155,IPC,392,1,1
155,IPC,397,2,2
156,IPC,392,1,1
156,IPC,397,2,2
157,IPC,323,1,1
157,IPC,324,2,2
158,IPC,454,1,1
158,IPC,457,2,2
158,IPC,380,3,3
159,IPC,392,1,1
159,IPC,397,2,2
160,IPC,379,1,1
160,IPC,356,2,2
161,IPC,420,1,1
161,ITACT,66D,2,2
162,IPC,323,1,1
162,IPC,324,2,2
163,IPC,379,1,1
164,IPC,379,1,1
165,IPC,323,1,1
165,IPC,324,2,2
166,NDPS,20,1,1
166,NDPS,22,2,2
167,IPC,323,1,1
167,IPC,324,2,2
168,IPC,379,1,1
168,IPC,356,2,2
169,IPC,420,1,1
169,ITACT,66D,2,2
170,NDPS,20,1,1
170,NDPS,22,2,2
171,IPC,392,1,1
171,IPC,397,2,2
172,IPC,454,1,1
172,IPC,457,2,2
172,IPC,380,3,3
173,IPC,379,1,1
173,IPC,356,2,2
174,IPC,454,1,1
174,IPC,457,2,2
174,IPC,380,3,3
175,IPC,323,1,1
175,IPC,324,2,2
176,IPC,323,1,1
176,IPC,324,2,2
177,IPC,379,1,1
177,IPC,356,2,2
178,IPC,379,1,1
178,IPC,356,2,2
179,IPC,379,1,1
179,IPC,356,2,2
180,IPC,379,1,1
181,IPC,323,1,1
181,IPC,324,2,2
182,IPC,379,1,1
182,IPC,356,2,2
183,IPC,323,1,1
183,IPC,324,2,2
184,IPC,392,1,1
184,IPC,397,2,2
185,IPC,420,1,1
185,ITACT,66D,2,2
186,NDPS,20,1,1
186,NDPS,22,2,2
187,IPC,323,1,1
187,IPC,324,2,2
188,IPC,323,1,1
188,IPC,324,2,2
189,IPC,323,1,1
189,IPC,324,2,2
190,IPC,379,1,1
191,IPC,420,1,1
191,ITACT,66D,2,2
192,IPC,454,1,1
192,IPC,457,2,2
192,IPC,380,3,3
193,IPC,323,1,1
193,IPC,324,2,2
194,IPC,323,1,1
194,IPC,324,2,2
195,IPC,420,1,1
195,ITACT,66D,2,2
196,IPC,323,1,1
196,IPC,324,2,2
197,IPC,420,1,1
197,ITACT,66D,2,2
198,IPC,323,1,1
198,IPC,324,2,2
199,IPC,379,1,1
200,IPC,454,1,1
200,IPC,457,2,2
200,IPC,380,3,3
201,IPC,454,1,1
201,IPC,457,2,2
201,IPC,380,3,3
202,NDPS,20,1,1
202,NDPS,22,2,2
203,IPC,323,1,1
203,IPC,324,2,2
204,IPC,323,1,1
204,IPC,324,2,2
205,IPC,379,1,1
206,IPC,392,1,1
206,IPC,397,2,2
207,IPC,420,1,1
207,ITACT,66D,2,2
208,IPC,379,1,1
208,IPC,356,2,2
209,IPC,379,1,1
210,IPC,379,1,1
211,IPC,323,1,1
211,IPC,324,2,2
212,IPC,420,1,1
212,ITACT,66D,2,2
213,IPC,454,1,1
213,IPC,457,2,2
213,IPC,380,3,3
214,IPC,379,1,1
214,IPC,356,2,2
215,NDPS,20,1,1
215,NDPS,22,2,2
216,IPC,379,1,1
216,IPC,356,2,2
217,NDPS,20,1,1
217,NDPS,22,2,2
218,IPC,323,1,1
218,IPC,324,2,2
219,IPC,454,1,1
219,IPC,457,2,2
219,IPC,380,3,3
220,IPC,420,1,1
220,ITACT,66D,2,2
221,IPC,420,1,1
221,ITACT,66D,2,2
222,IPC,379,1,1
223,IPC,323,1,1
223,IPC,324,2,2
224,IPC,392,1,1
224,IPC,397,2,2
225,IPC,379,1,1
225,IPC,356,2,2
226,IPC,420,1,1
226,ITACT,66D,2,2
227,IPC,323,1,1
227,IPC,324,2,2
228,IPC,392,1,1
228,IPC,397,2,2
229,NDPS,20,1,1
229,NDPS,22,2,2
230,IPC,379,1,1
230,IPC,356,2,2
231,IPC,420,1,1
231,ITACT,66D,2,2
232,IPC,379,1,1
232,IPC,356,2,2
233,IPC,392,1,1
233,IPC,397,2,2
234,IPC,420,1,1
234,ITACT,66D,2,2
235,IPC,392,1,1
235,IPC,397,2,2
236,IPC,379,1,1
237,IPC,379,1,1
237,IPC,356,2,2
238,IPC,454,1,1
238,IPC,457,2,2
238,IPC,380,3,3
239,IPC,379,1,1
240,IPC,392,1,1
240,IPC,397,2,2
241,NDPS,20,1,1
241,NDPS,22,2,2
242,IPC,379,1,1
243,IPC,323,1,1
243,IPC,324,2,2
244,IPC,420,1,1
244,ITACT,66D,2,2
245,IPC,379,1,1
246,IPC,379,1,1
246,IPC,356,2,2
247,NDPS,20,1,1
247,NDPS,22,2,2
248,IPC,420,1,1
248,ITACT,66D,2,2
249,IPC,420,1,1
249,ITACT,66D,2,2
250,NDPS,20,1,1
250,NDPS,22,2,2
251,IPC,420,1,1
251,ITACT,66D,2,2
252,IPC,323,1,1
252,IPC,324,2,2
253,IPC,379,1,1
254,IPC,323,1,1
254,IPC,324,2,2
255,IPC,323,1,1
255,IPC,324,2,2
256,IPC,379,1,1
257,NDPS,20,1,1
257,NDPS,22,2,2
258,IPC,379,1,1
258,IPC,356,2,2
259,IPC,454,1,1
259,IPC,457,2,2
259,IPC,380,3,3
260,IPC,454,1,1
260,IPC,457,2,2
260,IPC,380,3,3
261,IPC,454,1,1
261,IPC,457,2,2
261,IPC,380,3,3
262,IPC,392,1,1
262,IPC,397,2,2
263,IPC,323,1,1
263,IPC,324,2,2
264,IPC,323,1,1
264,IPC,324,2,2
265,IPC,323,1,1
265,IPC,324,2,2
266,IPC,379,1,1
267,IPC,392,1,1
267,IPC,397,2,2
268,IPC,323,1,1
268,IPC,324,2,2
269,IPC,379,1,1
270,IPC,420,1,1
270,ITACT,66D,2,2
271,IPC,392,1,1
271,IPC,397,2,2
272,IPC,420,1,1
272,ITACT,66D,2,2
273,IPC,454,1,1
273,IPC,457,2,2
273,IPC,380,3,3
274,IPC,323,1,1
274,IPC,324,2,2
275,NDPS,20,1,1
275,NDPS,22,2,2
276,NDPS,20,1,1
276,NDPS,22,2,2
277,IPC,323,1,1
277,IPC,324,2,2
278,IPC,379,1,1
278,IPC,356,2,2
279,IPC,379,1,1
279,IPC,356,2,2
280,IPC,420,1,1
280,ITACT,66D,2,2
281,IPC,323,1,1
281,IPC,324,2,2
282,IPC,379,1,1
282,IPC,356,2,2
283,IPC,323,1,1
283,IPC,324,2,2
284,IPC,379,1,1
284,IPC,356,2,2
285,NDPS,20,1,1
285,NDPS,22,2,2
286,IPC,379,1,1
286,IPC,356,2,2
287,IPC,420,1,1
287,ITACT,66D,2,2
288,IPC,323,1,1
288,IPC,324,2,2
289,IPC,392,1,1
289,IPC,397,2,2
290,IPC,379,1,1
290,IPC,356,2,2
291,IPC,323,1,1
291,IPC,324,2,2
292,IPC,420,1,1
292,ITACT,66D,2,2
293,IPC,379,1,1
293,IPC,356,2,2
294,IPC,392,1,1
294,IPC,397,2,2
295,IPC,392,1,1
295,IPC,397,2,2
296,IPC,323,1,1
296,IPC,324,2,2
297,IPC,379,1,1
297,IPC,356,2,2
298,IPC,379,1,1
298,IPC,356,2,2
299,IPC,323,1,1
299,IPC,324,2,2
300,IPC,454,1,1
300,IPC,457,2,2
300,IPC,380,3,3
