id,fir_id,person_id,role,arrest_date,bail_status
FP-00157,FIR-0037,P-0087,accused,,on bail
FP-00158,FIR-0037,P-0032,accused,2026-04-04,in custody
FP-00159,FIR-0037,P-0321,victim,,
FP-00160,FIR-0037,P-0321,complainant,,
FP-00161,FIR-0038,P-0282,victim,,
FP-00162,FIR-0038,P-0282,complainant,,
FP-00163,FIR-0039,P-0057,accused,,in custody
FP-00164,FIR-0039,P-0208,victim,,
FP-00165,FIR-0039,P-0208,complainant,,
FP-00166,FIR-0039,P-0101,witness,,
FP-00167,FIR-0040,P-0067,accused,2025-08-31,in custody
FP-00168,FIR-0040,P-0048,accused,2025-09-22,in custody
FP-00169,FIR-0040,P-0262,victim,,
FP-00170,FIR-0040,P-0262,complainant,,
FP-00171,FIR-0041,P-0024,accused,2024-10-17,on bail
FP-00172,FIR-0041,P-0301,victim,,
FP-00173,FIR-0041,P-0301,complainant,,
FP-00174,FIR-0042,P-0074,accused,2024-11-13,on bail
FP-00175,FIR-0042,P-0193,victim,,
FP-00176,FIR-0042,P-0193,complainant,,
FP-00177,FIR-0042,P-0264,witness,,
FP-00178,FIR-0042,P-0224,witness,,
FP-00179,FIR-0043,P-0058,accused,2025-02-15,in custody
FP-00180,FIR-0043,P-0075,accused,2025-02-10,in custody
FP-00181,FIR-0043,P-0205,victim,,
FP-00182,FIR-0043,P-0205,complainant,,
FP-00183,FIR-0044,P-0213,victim,,
FP-00184,FIR-0044,P-0193,complainant,,
FP-00185,FIR-0044,P-0209,witness,,
FP-00186,FIR-0045,P-0009,accused,2025-09-20,in custody
FP-00187,FIR-0045,P-0096,victim,,
FP-00188,FIR-0045,P-0096,complainant,,
FP-00189,FIR-0045,P-0324,witness,,
FP-00190,FIR-0045,P-0309,witness,,
FP-00191,FIR-0046,P-0009,accused,,on bail
FP-00192,FIR-0046,P-0033,accused,2026-04-21,on bail
FP-00193,FIR-0046,P-0140,victim,,
FP-00194,FIR-0046,P-0140,complainant,,
FP-00195,FIR-0046,P-0114,witness,,
FP-00196,FIR-0046,P-0118,witness,,
FP-00197,FIR-0047,P-0065,accused,,in custody
FP-00198,FIR-0047,P-0033,accused,,in custody
FP-00199,FIR-0047,P-0311,victim,,
FP-00200,FIR-0047,P-0311,complainant,,
FP-00201,FIR-0048,P-0060,accused,,on bail
FP-00202,FIR-0048,P-0126,victim,,
FP-00203,FIR-0048,P-0126,complainant,,
FP-00204,FIR-0049,P-0073,accused,2024-08-22,on bail
FP-00205,FIR-0049,P-0217,victim,,
FP-00206,FIR-0049,P-0217,complainant,,
FP-00207,FIR-0050,P-0193,victim,,
FP-00208,FIR-0050,P-0193,complainant,,
FP-00209,FIR-0050,P-0321,witness,,
FP-00210,FIR-0051,P-0112,victim,,
FP-00211,FIR-0051,P-0112,complainant,,
FP-00212,FIR-0051,P-0119,witness,,
FP-00213,FIR-0051,P-0295,witness,,
FP-00214,FIR-0052,P-0059,accused,2024-10-16,on bail
FP-00215,FIR-0052,P-0091,victim,,
FP-00216,FIR-0052,P-0269,complainant,,
FP-00217,FIR-0053,P-0060,accused,2025-10-19,on bail
FP-00218,FIR-0053,P-0021,accused,2025-10-05,in custody
FP-00219,FIR-0053,P-0249,victim,,
FP-00220,FIR-0053,P-0205,complainant,,
FP-00221,FIR-0053,P-0170,witness,,
FP-00222,FIR-0054,P-0033,accused,,on bail
FP-00223,FIR-0054,P-0065,accused,,on bail
FP-00224,FIR-0054,P-0195,victim,,
FP-00225,FIR-0054,P-0195,complainant,,
FP-00226,FIR-0055,P-0045,accused,2025-11-22,in custody
FP-00227,FIR-0055,P-0087,accused,,in custody
FP-00228,FIR-0055,P-0070,accused,2025-10-24,on bail
FP-00229,FIR-0055,P-0197,victim,,
FP-00230,FIR-0055,P-0197,complainant,,
FP-00231,FIR-0055,P-0174,witness,,
FP-00232,FIR-0055,P-0284,witness,,
FP-00233,FIR-0056,P-0216,victim,,
FP-00234,FIR-0056,P-0216,complainant,,
FP-00235,FIR-0057,P-0007,accused,,on bail
FP-00236,FIR-0057,P-0020,accused,2025-08-12,in custody
FP-00237,FIR-0057,P-0134,victim,,
FP-00238,FIR-0057,P-0134,complainant,,
FP-00239,FIR-0058,P-0084,accused,2025-03-04,on bail
FP-00240,FIR-0058,P-0175,victim,,
FP-00241,FIR-0058,P-0175,complainant,,
FP-00242,FIR-0058,P-0289,witness,,
FP-00243,FIR-0059,P-0065,accused,2026-06-23,in custody
FP-00244,FIR-0059,P-0108,victim,,
FP-00245,FIR-0059,P-0272,complainant,,
FP-00246,FIR-0060,P-0119,victim,,
FP-00247,FIR-0060,P-0119,complainant,,
FP-00248,FIR-0061,P-0042,accused,2025-03-19,on bail
FP-00249,FIR-0061,P-0306,victim,,
FP-00250,FIR-0061,P-0306,complainant,,
FP-00251,FIR-0062,P-0067,accused,,on bail
FP-00252,FIR-0062,P-0250,victim,,
FP-00253,FIR-0062,P-0176,complainant,,
FP-00254,FIR-0062,P-0136,witness,,
FP-00255,FIR-0062,P-0111,witness,,
FP-00256,FIR-0063,P-0032,accused,2026-04-28,on bail
FP-00257,FIR-0063,P-0070,accused,,on bail
FP-00258,FIR-0063,P-0238,victim,,
FP-00259,FIR-0063,P-0238,complainant,,
FP-00260,FIR-0064,P-0089,accused,2025-10-20,in custody
FP-00261,FIR-0064,P-0003,accused,,on bail
FP-00262,FIR-0064,P-0127,victim,,
FP-00263,FIR-0064,P-0316,complainant,,
FP-00264,FIR-0064,P-0145,witness,,
FP-00265,FIR-0064,P-0180,witness,,
FP-00266,FIR-0065,P-0047,accused,,on bail
FP-00267,FIR-0065,P-0041,accused,,in custody
FP-00268,FIR-0065,P-0212,victim,,
FP-00269,FIR-0065,P-0212,complainant,,
FP-00270,FIR-0066,P-0047,accused,2026-01-31,in custody
FP-00271,FIR-0066,P-0222,victim,,
FP-00272,FIR-0066,P-0222,complainant,,
FP-00273,FIR-0066,P-0300,witness,,
FP-00274,FIR-0066,P-0111,witness,,
FP-00275,FIR-0067,P-0112,victim,,
FP-00276,FIR-0067,P-0112,complainant,,
FP-00277,FIR-0067,P-0268,witness,,
FP-00278,FIR-0068,P-0020,accused,2026-05-10,on bail
FP-00279,FIR-0068,P-0223,victim,,
FP-00280,FIR-0068,P-0223,complainant,,
FP-00281,FIR-0068,P-0303,witness,,
FP-00282,FIR-0068,P-0127,witness,,
FP-00283,FIR-0069,P-0178,victim,,
FP-00284,FIR-0069,P-0178,complainant,,
FP-00285,FIR-0070,P-0224,victim,,
FP-00286,FIR-0070,P-0224,complainant,,
FP-00287,FIR-0070,P-0311,witness,,
FP-00288,FIR-0070,P-0201,witness,,
FP-00289,FIR-0071,P-0070,accused,,in custody
FP-00290,FIR-0071,P-0045,accused,2024-09-25,in custody
FP-00291,FIR-0071,P-0038,accused,,in custody
FP-00292,FIR-0071,P-0330,victim,,
FP-00293,FIR-0071,P-0330,complainant,,
FP-00294,FIR-0072,P-0002,accused,2025-06-26,on bail
FP-00295,FIR-0072,P-0045,accused,,in custody
FP-00296,FIR-0072,P-0185,victim,,
FP-00297,FIR-0072,P-0185,complainant,,
FP-00298,FIR-0073,P-0024,accused,2026-04-09,on bail
FP-00299,FIR-0073,P-0038,accused,2026-04-02,on bail
FP-00300,FIR-0073,P-0045,accused,,in custody
FP-00301,FIR-0073,P-0321,victim,,
FP-00302,FIR-0073,P-0321,complainant,,
FP-00303,FIR-0074,P-0007,accused,,on bail
FP-00304,FIR-0074,P-0264,victim,,
FP-00305,FIR-0074,P-0264,complainant,,
FP-00306,FIR-0075,P-0036,accused,2026-07-28,on bail
FP-00307,FIR-0075,P-0101,victim,,
FP-00308,FIR-0075,P-0101,complainant,,
FP-00309,FIR-0075,P-0102,witness,,
FP-00310,FIR-0075,P-0275,witness,,
FP-00311,FIR-0076,P-0032,accused,2026-04-17,in custody
FP-00312,FIR-0076,P-0009,accused,2026-04-21,on bail
FP-00313,FIR-0076,P-0206,victim,,
FP-00314,FIR-0076,P-0206,complainant,,
FP-00315,FIR-0077,P-0061,accused,2024-08-14,on bail
FP-00316,FIR-0077,P-0028,accused,2024-08-26,on bail
FP-00317,FIR-0077,P-0096,victim,,
FP-00318,FIR-0077,P-0096,complainant,,
FP-00319,FIR-0077,P-0206,witness,,
FP-00320,FIR-0078,P-0067,accused,2025-10-12,on bail
FP-00321,FIR-0078,P-0162,victim,,
FP-00322,FIR-0078,P-0162,complainant,,
FP-00323,FIR-0078,P-0163,witness,,
FP-00324,FIR-0079,P-0166,victim,,
FP-00325,FIR-0079,P-0166,complainant,,
FP-00326,FIR-0080,P-0218,victim,,
FP-00327,FIR-0080,P-0135,complainant,,
FP-00328,FIR-0081,P-0020,accused,,in custody
FP-00329,FIR-0081,P-0002,accused,,on bail
FP-00330,FIR-0081,P-0009,accused,2024-11-14,on bail
FP-00331,FIR-0081,P-0126,victim,,
FP-00332,FIR-0081,P-0126,complainant,,
FP-00333,FIR-0081,P-0206,witness,,
FP-00334,FIR-0082,P-0068,accused,,in custody
FP-00335,FIR-0082,P-0082,accused,,in custody
FP-00336,FIR-0082,P-0243,victim,,
FP-00337,FIR-0082,P-0243,complainant,,
FP-00338,FIR-0082,P-0148,witness,,
FP-00339,FIR-0083,P-0080,accused,2025-11-10,on bail
FP-00340,FIR-0083,P-0315,victim,,
FP-00341,FIR-0083,P-0315,complainant,,
FP-00342,FIR-0084,P-0176,victim,,
FP-00343,FIR-0084,P-0176,complainant,,
FP-00344,FIR-0085,P-0045,accused,2026-04-17,in custody
FP-00345,FIR-0085,P-0070,accused,,on bail
FP-00346,FIR-0085,P-0032,accused,,on bail
FP-00347,FIR-0085,P-0281,victim,,
FP-00348,FIR-0085,P-0281,complainant,,
FP-00349,FIR-0086,P-0003,accused,2025-07-27,in custody
FP-00350,FIR-0086,P-0096,victim,,
FP-00351,FIR-0086,P-0256,complainant,,
FP-00352,FIR-0087,P-0062,accused,2025-08-26,in custody
FP-00353,FIR-0087,P-0149,victim,,
FP-00354,FIR-0087,P-0251,complainant,,
FP-00355,FIR-0087,P-0209,witness,,
FP-00356,FIR-0087,P-0205,witness,,
FP-00357,FIR-0088,P-0326,victim,,
FP-00358,FIR-0088,P-0326,complainant,,
FP-00359,FIR-0089,P-0064,accused,2025-08-06,on bail
FP-00360,FIR-0089,P-0066,accused,2025-08-13,in custody
FP-00361,FIR-0089,P-0198,victim,,
FP-00362,FIR-0089,P-0244,complainant,,
FP-00363,FIR-0090,P-0081,accused,,on bail
FP-00364,FIR-0090,P-0068,accused,2025-05-13,on bail
FP-00365,FIR-0090,P-0143,victim,,
FP-00366,FIR-0090,P-0143,complainant,,
FP-00367,FIR-0091,P-0038,accused,,in custody
FP-00368,FIR-0091,P-0070,accused,2024-12-03,in custody
FP-00369,FIR-0091,P-0045,accused,,on bail
FP-00370,FIR-0091,P-0301,victim,,
FP-00371,FIR-0091,P-0127,complainant,,
FP-00372,FIR-0092,P-0024,accused,2025-03-13,on bail
FP-00373,FIR-0092,P-0070,accused,,on bail
FP-00374,FIR-0092,P-0193,victim,,
FP-00375,FIR-0092,P-0193,complainant,,
FP-00376,FIR-0093,P-0090,accused,2025-04-08,in custody
FP-00377,FIR-0093,P-0154,victim,,
FP-00378,FIR-0093,P-0154,complainant,,
FP-00379,FIR-0093,P-0247,witness,,
FP-00380,FIR-0094,P-0186,victim,,
FP-00381,FIR-0094,P-0219,complainant,,
FP-00382,FIR-0094,P-0141,witness,,
FP-00383,FIR-0095,P-0061,accused,2024-11-11,on bail
FP-00384,FIR-0095,P-0272,victim,,
FP-00385,FIR-0095,P-0316,complainant,,
FP-00386,FIR-0096,P-0007,accused,,in custody
FP-00387,FIR-0096,P-0195,victim,,
FP-00388,FIR-0096,P-0278,complainant,,
FP-00389,FIR-0097,P-0050,accused,2025-02-24,on bail
FP-00390,FIR-0097,P-0039,accused,,on bail
FP-00391,FIR-0097,P-0230,victim,,
FP-00392,FIR-0097,P-0230,complainant,,
FP-00393,FIR-0098,P-0279,victim,,
FP-00394,FIR-0098,P-0141,complainant,,
FP-00395,FIR-0099,P-0076,accused,,on bail
FP-00396,FIR-0099,P-0059,accused,2026-04-23,on bail
FP-00397,FIR-0099,P-0141,victim,,
FP-00398,FIR-0099,P-0141,complainant,,
FP-00399,FIR-0100,P-0066,accused,,on bail
FP-00400,FIR-0100,P-0051,accused,,in custody
FP-00401,FIR-0100,P-0160,victim,,
FP-00402,FIR-0100,P-0160,complainant,,
FP-00403,FIR-0100,P-0308,witness,,
FP-00404,FIR-0101,P-0015,accused,2026-06-20,in custody
FP-00405,FIR-0101,P-0329,victim,,
FP-00406,FIR-0101,P-0329,complainant,,
FP-00407,FIR-0102,P-0213,victim,,
FP-00408,FIR-0102,P-0213,complainant,,
FP-00409,FIR-0102,P-0329,witness,,
FP-00410,FIR-0102,P-0231,witness,,
FP-00411,FIR-0103,P-0073,accused,2024-09-17,in custody
FP-00412,FIR-0103,P-0072,accused,2024-10-13,on bail
FP-00413,FIR-0103,P-0116,victim,,
FP-00414,FIR-0103,P-0116,complainant,,
FP-00415,FIR-0104,P-0035,accused,,in custody
FP-00416,FIR-0104,P-0092,victim,,
FP-00417,FIR-0104,P-0092,complainant,,
FP-00418,FIR-0104,P-0095,witness,,
FP-00419,FIR-0104,P-0252,witness,,
FP-00420,FIR-0105,P-0030,accused,2026-01-01,on bail
FP-00421,FIR-0105,P-0035,accused,,on bail
FP-00422,FIR-0105,P-0306,victim,,
FP-00423,FIR-0105,P-0139,complainant,,
FP-00424,FIR-0106,P-0045,accused,2024-07-17,in custody
FP-00425,FIR-0106,P-0038,accused,2024-07-23,on bail
FP-00426,FIR-0106,P-0278,victim,,
FP-00427,FIR-0106,P-0278,complainant,,
FP-00428,FIR-0106,P-0301,witness,,
FP-00429,FIR-0106,P-0327,witness,,
FP-00430,FIR-0107,P-0252,victim,,
FP-00431,FIR-0107,P-0252,complainant,,
FP-00432,FIR-0107,P-0242,witness,,
FP-00433,FIR-0108,P-0085,accused,2026-02-16,in custody
FP-00434,FIR-0108,P-0286,victim,,
FP-00435,FIR-0108,P-0124,complainant,,
FP-00436,FIR-0109,P-0042,accused,,in custody
FP-00437,FIR-0109,P-0054,accused,2024-09-16,in custody
FP-00438,FIR-0109,P-0308,victim,,
FP-00439,FIR-0109,P-0308,complainant,,
FP-00440,FIR-0110,P-0029,accused,,in custody
FP-00441,FIR-0110,P-0203,victim,,
FP-00442,FIR-0110,P-0203,complainant,,
FP-00443,FIR-0111,P-0028,accused,2025-09-18,in custody
FP-00444,FIR-0111,P-0180,victim,,
FP-00445,FIR-0111,P-0180,complainant,,
FP-00446,FIR-0112,P-0070,accused,2026-03-05,on bail
FP-00447,FIR-0112,P-0045,accused,,in custody
FP-00448,FIR-0112,P-0236,victim,,
FP-00449,FIR-0112,P-0236,complainant,,
FP-00450,FIR-0112,P-0271,witness,,
FP-00451,FIR-0112,P-0329,witness,,
FP-00452,FIR-0113,P-0193,victim,,
FP-00453,FIR-0113,P-0193,complainant,,
FP-00454,FIR-0114,P-0164,victim,,
FP-00455,FIR-0114,P-0205,complainant,,
FP-00456,FIR-0115,P-0050,accused,,on bail
FP-00457,FIR-0115,P-0313,victim,,
FP-00458,FIR-0115,P-0313,complainant,,
FP-00459,FIR-0115,P-0293,witness,,
FP-00460,FIR-0116,P-0125,victim,,
FP-00461,FIR-0116,P-0125,complainant,,
FP-00462,FIR-0117,P-0192,victim,,
FP-00463,FIR-0117,P-0192,complainant,,
FP-00464,FIR-0117,P-0308,witness,,
FP-00465,FIR-0117,P-0295,witness,,
FP-00466,FIR-0118,P-0125,victim,,
FP-00467,FIR-0118,P-0125,complainant,,
FP-00468,FIR-0118,P-0149,witness,,
FP-00469,FIR-0119,P-0067,accused,2024-11-16,in custody
FP-00470,FIR-0119,P-0257,victim,,
FP-00471,FIR-0119,P-0257,complainant,,
FP-00472,FIR-0119,P-0179,witness,,
FP-00473,FIR-0120,P-0051,accused,2026-05-17,on bail
FP-00474,FIR-0120,P-0269,victim,,
FP-00475,FIR-0120,P-0227,complainant,,
FP-00476,FIR-0121,P-0211,victim,,
FP-00477,FIR-0121,P-0211,complainant,,
FP-00478,FIR-0121,P-0187,witness,,
FP-00479,FIR-0121,P-0288,witness,,
FP-00480,FIR-0122,P-0050,accused,,in custody
FP-00481,FIR-0122,P-0025,accused,2024-08-24,on bail
FP-00482,FIR-0122,P-0313,victim,,
FP-00483,FIR-0122,P-0187,complainant,,
FP-00484,FIR-0123,P-0009,accused,2024-10-24,in custody
FP-00485,FIR-0123,P-0238,victim,,
FP-00486,FIR-0123,P-0238,complainant,,
FP-00487,FIR-0124,P-0038,accused,2025-09-03,on bail
FP-00488,FIR-0124,P-0024,accused,2025-08-29,in custody
FP-00489,FIR-0124,P-0032,accused,,on bail
FP-00490,FIR-0124,P-0127,victim,,
FP-00491,FIR-0124,P-0235,complainant,,
FP-00492,FIR-0124,P-0231,witness,,
FP-00493,FIR-0125,P-0230,victim,,
FP-00494,FIR-0125,P-0136,complainant,,
FP-00495,FIR-0125,P-0260,witness,,
FP-00496,FIR-0126,P-0038,accused,,on bail
FP-00497,FIR-0126,P-0024,accused,2025-07-27,on bail
FP-00498,FIR-0126,P-0115,victim,,
FP-00499,FIR-0126,P-0115,complainant,,
FP-00500,FIR-0127,P-0097,victim,,
FP-00501,FIR-0127,P-0097,complainant,,
FP-00502,FIR-0127,P-0268,witness,,
FP-00503,FIR-0128,P-0134,victim,,
FP-00504,FIR-0128,P-0134,complainant,,
FP-00505,FIR-0129,P-0127,victim,,
FP-00506,FIR-0129,P-0127,complainant,,
FP-00507,FIR-0129,P-0157,witness,,
FP-00508,FIR-0129,P-0131,witness,,
FP-00509,FIR-0130,P-0065,accused,,in custody
FP-00510,FIR-0130,P-0028,accused,2025-05-17,on bail
FP-00511,FIR-0130,P-0256,victim,,
FP-00512,FIR-0130,P-0290,complainant,,
FP-00513,FIR-0131,P-0076,accused,2025-11-25,in custody
FP-00514,FIR-0131,P-0042,accused,,on bail
FP-00515,FIR-0131,P-0227,victim,,
FP-00516,FIR-0131,P-0227,complainant,,
FP-00517,FIR-0132,P-0033,accused,2024-08-26,in custody
FP-00518,FIR-0132,P-0204,victim,,
FP-00519,FIR-0132,P-0161,complainant,,
FP-00520,FIR-0133,P-0054,accused,2024-08-12,in custody
FP-00521,FIR-0133,P-0137,victim,,
FP-00522,FIR-0133,P-0137,complainant,,
FP-00523,FIR-0134,P-0070,accused,,on bail
FP-00524,FIR-0134,P-0087,accused,,in custody
FP-00525,FIR-0134,P-0172,victim,,
FP-00526,FIR-0134,P-0172,complainant,,
FP-00527,FIR-0134,P-0312,witness,,
FP-00528,FIR-0134,P-0206,witness,,
FP-00529,FIR-0135,P-0051,accused,2025-03-10,on bail
FP-00530,FIR-0135,P-0200,victim,,
FP-00531,FIR-0135,P-0200,complainant,,
FP-00532,FIR-0136,P-0090,accused,2024-11-28,on bail
FP-00533,FIR-0136,P-0044,accused,2024-11-25,on bail
FP-00534,FIR-0136,P-0228,victim,,
FP-00535,FIR-0136,P-0228,complainant,,
FP-00536,FIR-0136,P-0111,witness,,
FP-00537,FIR-0137,P-0285,victim,,
FP-00538,FIR-0137,P-0286,complainant,,
FP-00539,FIR-0138,P-0069,accused,2025-09-30,in custody
FP-00540,FIR-0138,P-0189,victim,,
FP-00541,FIR-0138,P-0099,complainant,,
FP-00542,FIR-0138,P-0095,witness,,
FP-00543,FIR-0138,P-0203,witness,,
FP-00544,FIR-0139,P-0045,accused,2025-02-09,on bail
FP-00545,FIR-0139,P-0145,victim,,
FP-00546,FIR-0139,P-0145,complainant,,
FP-00547,FIR-0139,P-0272,witness,,
FP-00548,FIR-0139,P-0149,witness,,
