CSID,CaseMasterID,csdate,cstype,PolicePersonID
167,260,2025-12-09 23:42:00,A,29
168,261,2024-12-05 10:28:00,C,32
169,262,2026-05-07 00:38:00,A,31
170,264,2026-06-17 17:06:00,A,10
171,265,2025-12-26 21:37:00,A,31
172,266,2024-10-20 06:10:00,C,26
173,267,2026-02-14 21:02:00,A,31
174,269,2026-02-07 13:04:00,C,6
175,271,2026-02-06 03:32:00,C,29
176,273,2024-12-07 00:52:00,A,28
177,279,2026-08-01 12:24:00,A,3
178,280,2025-05-27 04:14:00,B,25
179,283,2026-04-07 21:32:00,A,15
180,285,2024-12-03 15:53:00,A,6
181,286,2026-07-28 03:01:00,A,19
182,289,2026-04-17 11:34:00,A,3
183,290,2026-02-25 22:57:00,A,22
184,294,2026-03-21 02:31:00,A,13
185,295,2024-11-13 10:25:00,A,23
186,296,2024-12-17 09:40:00,A,12
187,297,2024-12-27 00:28:00,A,8
188,298,2026-06-06 05:44:00,A,3
189,300,2024-09-30 02:13:00,B,28
